coupeNumbe,site_ID,date_start,date_end,flight_start,last_flight,flight_end,n_flights,comment
462-512-0002,Backdoor,13/2/2023,14/2/2023,2130,2357,20,7,
208-505-0031,Coliban,1/3/2023,2/3/2023,2101,2355,100,10,
281-504-0002,Ginters,22/5/2023,23/5/2023,1905,142,150,14,
281-504-0002,Ginters,23/5/2023,24/5/2023,1858,236,255,19,
284-504-0003,Mohican_1,22/5/2023,23/5/2023,2335,58,117,4,
284-504-0003,Mohican_1,17/5/2023,17/5/2023,2141,2226,2353,5,
284-503-0011,Mohican_2,23/5/2023,24/5/2023,2129,17,39,6,
284-503-0011,Mohican_2,24/5/2023,24/5/2023,1844,2242,2306,7,
284-502-0021 & 284-502-0022,Mohican_3,24/5/2023,24/5/2023,1845,2323,2351,13,
284-502-0022,Mohican_3,23/5/2023,23/5/2023,1816,2025,2045,,
735-507-0002,Alfred,5/6/2023,5/6/2023,1802,2329,2352,11,
735-507-0002,Alfred,6/6/2023,6/6/2023,1759,2150,2217,10,
300-503-0009,Murrindindi,10/5/2023,10/5/2023,1913,2233,2359,8,
300-503-0009,Murrindindi,16/5/2023,16/5/2023,1844,2248,2301,9,
307-503-0005,Narbethong,22/5/2023,22/5/2023,1813,2207,2222,10,
307-503-0005,Narbethong,12/7/2023,12/7/2023,1842,2120,2148,8,
346-508-0003,Tarrango,23/6/2023,23/6/2023,2036,2258,2321,9,
346-508-0003,Tarrango,10/7/2023,10/7/2023,1728,1957,2015,10,
309-505-0002,Troop,15/12/2022,15/12/2022,1705,1721,1748,3,
309-505-0002,Troop,15/3/2023,15/3/2023,NA,NA,NA,NA,wildlife drones flight and observation times missing
299-500-0003_299-501-0007,Yellowdindi,9/5/2023,10/5/2023,2227,55,110,8,
295-539-0001,Kinglake,18/9/2023,18/9/2023,1938,2055,2111,4,
297-501-0001,Castella,28/8/2023,29/8/2023,1856,38,55,11,
297-806-0001,297-806-0001,26/9/2023,26/9/2023,1800,2116,2131,7,
297-802-0001,Mash,13/9/2023,14/9/2023,2256,2352,15,5,
299-511-0007,299-510-0007,7/8/2023,7/8/2023,1830,1945,2020,6,
299-944-0002,299-944-0002,25/9/2023,25/9/2023,1910,2211,2235,8,
300-503-0001,300-503-0001,18/12/2023,18/12/2023,2145,2311,2330,7,
309-502-0002,209-502-0002,16/8/2023,16/8/2023,1840,2014,2022,5,
Babbington,Babbington,28/9/2023,28/9/2023,1923,2248,2317,8,
Babbington,Babbington,18/10/2023,19/10/2023,2243,336,350,13,
490-509-0012,Boola,22/6/2023,23/6/2023,1906,2311,2339,16,
464-506-0022,Canvas,26/7/2023,26/7/2023,2129,2330,2359,6,
464-506-0022,Canvas,25/7/2023,25/7/2023,2129,2330,2341,7,
463-503-0021,Davis,25/7/2023,25/7/2023,1830,1941,2005,6,
463-503-0021,Davis,26/7/2023,26/7/2023,1808,1938,2012,6,
300-910-0007,300-910-0007,18/12/2023,19/12/2023,2345,118,134,5,
297-504-0001,Gags,12/9/2023,13/9/2023,1928,137,147,15,
486-502-0008,Merger,27/7/2023,27/7/2023,1809,2339,2358,17,combined flight merger and united - use all area and obs
283-505-0015,Quodpod,18/7/2023,18/7/2023,1837,2335,2356,9,
283-505-0015,Quodpod,24/7/2023,24/7/2023,1913,2213,2234,9,
283-505-0015,Quodpod,25/7/2023,25/7/2023,1924,2324,2344,9,
486-502-0007,United,27/7/2023,27/7/2023,1809,2339,2358,17,combined flight merger and united - use all area and obs
192-504-0009,Osborne,8/3/2023,9/3/2023,2356,223,241,6,
