"site_ID","area_m2","area_ha","area_m2_single","area_ha_single"
"209-502-0002",103275.542598619,10,40297.7358526055,4
"297-806-0001",104006.673845783,10,49386.693470531,5
"299-510-0007",109393.185216572,11,41828.0368060716,4
"299-944-0002",100691.771546469,10,41357.5328300761,4
"300-503-0001",102949.253495879,10,48318.356199704,5
"300-910-0007",131014.155148258,13,47621.686854307,5
"Alfred",99212.1299448951,10,39977.2431152915,4
"Babbington",120934.798885119,12,51849.5108654466,5
"Backdoor",96574.0309606008,10,43277.302998557,4
"Boola",96246.3800631794,10,40438.8580400389,4
"Canvas",107544.640406762,11,47476.0384401123,5
"Castella",120287.469678733,12,42648.639954089,4
"Coliban",101049.424521907,10,48844.0311647636,5
"Davis",109795.30261682,11,40246.3361471902,4
"Gags",111100.39996753,11,58631.4017665627,6
"Ginters",107605.907349438,11,42354.1305236177,4
"Kinglake",100976.515159918,10,40778.3989827688,4
"Mash",118878.591615911,12,44943.6860774655,4
"Merger",92322.6859921021,9,38835.968879039,4
"Mohican_1",106065.302699034,11,42365.3596119999,4
"Mohican_2",108668.395840924,11,38056.0710769853,4
"Mohican_3",98215.6771234252,10,40165.8085587904,4
"Murrindindi",105457.933917129,11,54495.0859955362,5
"Narbethong",108988.696226669,11,47319.1105015271,5
"Osborne",100678.12429021,10,49219.0367291168,5
"Quodpod",89543.8097108806,9,39174.4921488543,4
"Tarrango",93095.9967613308,9,40914.4895111085,4
"Troop",136178.87425726,14,47554.5431480843,5
"United",98865.2720139047,10,40399.6435337851,4
"Yellowdindi",121695.717251441,12,42328.6466813672,4
