"coupeNumbe","site_ID"
"462-512-0002","Backdoor"
"208-505-0031","Coliban"
"281-504-0002","Ginters"
"284-504-0003","Mohican_1"
"284-503-0011","Mohican_2"
"284-502-0021 & 284-502-0022","Mohican_3"
"284-502-0022","Mohican_3"
"735-507-0002","Alfred"
"300-503-0009","Murrindindi"
"307-503-0005","Narbethong"
"346-508-0003","Tarrango"
"309-505-0002","Troop"
"299-500-0003_299-501-0007","Yellowdindi"
"295-539-0001","Kinglake"
"297-501-0001","Castella"
"297-806-0001","297-806-0001"
"297-802-0001","Mash"
"299-511-0007","299-510-0007"
"299-944-0002","299-944-0002"
"300-503-0001","300-503-0001"
"300-503-0001","209-502-0002"
"Babbington","Babbington"
"490-509-0012","Boola"
"464-506-0022","Canvas"
"463-503-0021","Davis"
"300-910-0007","300-910-0007"
"297-504-0001","Gags"
"486-502-0008","Merger"
"283-505-0015","Quodpod"
"486-502-0007","United"
"309-505-0001","Troop"
"192-504-0009","Osborne"
