"site_ID","drone_obs","ground_obs","diff","ground_time","ground_effort","area"
"209-502-0002",2,2,0,3.15,0.317460317460317,10
"297-806-0001",1,9,8,3.98333333333333,1.12970711297071,10
"299-510-0007",2,7,5,3.26666666666667,1.07142857142857,11
"299-944-0002",8,12,4,3.08333333333333,1.94594594594595,10
"300-503-0001",4,0,-4,3.73333333333333,0,10
"300-910-0007",8,13,5,4.13333333333333,1.57258064516129,13
"Alfred",7,0,-7,3,0,10
"Babbington",9,5,-4,3.33333333333333,0.75,12
"Backdoor",2,2,0,2.66666666666667,0.375,10
"Boola",5,1,-4,3.05,0.163934426229508,10
"Canvas",9,0,-9,3.06666666666667,0,11
"Castella",9,5,-4,3.06666666666667,0.815217391304348,12
"Coliban",10,6,-4,3.51666666666667,0.853080568720379,10
"Davis",6,5,-1,2.53333333333333,0.986842105263158,11
"Gags",8,6,-2,4.51666666666667,0.664206642066421,11
"Ginters",19,6,-13,2.33333333333333,1.28571428571429,11
"Kinglake",1,13,12,3.38333333333333,1.92118226600985,10
"Mash",4,5,1,3.75,0.666666666666667,2
"Merger",2,1,-1,3.8,0.131578947368421,9
"Mohican_1",8,13,5,3.6,1.80555555555556,11
"Mohican_2",14,3,-11,2.75,0.545454545454545,11
"Mohican_3",18,4,-14,2.66666666666667,0.75,10
"Murrindindi",5,0,-5,2.66666666666667,0,11
"Narbethong",24,7,-17,2.11666666666667,1.65354330708661,11
"Osborne",6,8,2,4.41666666666667,0.90566037735849,10
"Quodpod",12,16,4,4.66666666666667,1.71428571428571,9
"Tarrango",6,0,-6,2.43333333333333,0,9
"Troop",24,23,-1,3.18333333333333,3.61256544502618,14
"United",1,3,2,2.93333333333333,0.511363636363636,10
"Yellowdindi",6,1,-5,2.51666666666667,0.198675496688742,12
